block,label,method,round,f1_mean,f1_std,f1_sem,ci_low,ci_high,n
heterogeneous,fast25,DFedSAM,43,0.8187046352256377,0.01548595470151465,0.004897088859897925,0.8091063410602378,0.8283029293910377,10
heterogeneous,fast25,DFedSAM,44,0.8148209140070284,0.02136513970787092,0.006756250400457658,0.8015786632221313,0.8280631647919254,10
heterogeneous,fast25,DFedSAM,45,0.8229730128950324,0.020667857642056454,0.006535750450501544,0.8101629420120494,0.8357830837780155,10
heterogeneous,fast25,DFedSAM,46,0.826495052271684,0.02375237357976604,0.007511160034726778,0.8117731786036195,0.8412169259397484,10
heterogeneous,fast25,DFedSAM,47,0.8245631856099835,0.021586966518272355,0.006826398197153544,0.8111834451435626,0.8379429260764045,10
heterogeneous,fast25,DFedSAM,48,0.8238937552454428,0.02130166653609265,0.006736178421144213,0.8106908455400001,0.8370966649508855,10
heterogeneous,fast25,DFedSAM,49,0.8293145261523488,0.02788532103972225,0.008818112777053695,0.8120310251093236,0.846598027195374,10
heterogeneous,fast25,DeceFL,0,0.150527546952636,0.026970960718421404,0.00852896665531429,0.13381077230822,0.16724432159705202,10
heterogeneous,fast25,DeceFL,1,0.1505705549269288,0.014601343318779823,0.004617350178542625,0.14152054857698526,0.15962056127687235,10
heterogeneous,fast25,DeceFL,2,0.17488102165122177,0.025926536448190828,0.008198690701565509,0.15881158787615338,0.19095045542629016,10
heterogeneous,fast25,DeceFL,3,0.16090940122814318,0.02073904569911568,0.006558262090752462,0.14805520753026835,0.173763594926018,10
heterogeneous,fast25,DeceFL,4,0.1484948539120004,0.014805941847912512,0.0046820499143405865,0.13931803607989285,0.15767167174410796,10
heterogeneous,fast25,DeceFL,5,0.14066945188172172,0.0,0.0,0.14066945188172172,0.14066945188172172,10
heterogeneous,fast25,DeceFL,6,0.14249220740007207,0.005764059055627891,0.0018227555183503326,0.1389196065841054,0.14606480821603873,10
heterogeneous,fast25,DeceFL,7,0.14249355682598486,0.00576832631504594,0.0018241049442631163,0.13891831113522915,0.14606880251674056,10
heterogeneous,fast25,DeceFL,8,0.1452204679521371,0.007328821941471067,0.0023175769900865804,0.1406780170515674,0.14976291885270682,10
heterogeneous,fast25,DeceFL,9,0.1748703690037971,0.023271264432343286,0.007359019963827015,0.16044668987469615,0.18929404813289805,10
heterogeneous,fast25,DeceFL,10,0.2645366221011791,0.043981154806675686,0.013908062331355765,0.2372768199317218,0.2917964242706364,10
heterogeneous,fast25,DeceFL,11,0.34506542481039604,0.024123188635663703,0.007628422051458705,0.330113717589537,0.36001713203125507,10
heterogeneous,fast25,DeceFL,12,0.39430369628488565,0.028428010013575804,0.008989726098897375,0.3766838331310468,0.4119235594387245,10
heterogeneous,fast25,DeceFL,13,0.43247266730285644,0.029545722886958108,0.00934317794389532,0.41416003853282163,0.45078529607289125,10
heterogeneous,fast25,DeceFL,14,0.47613790534037415,0.03742054114636391,0.011833414129855821,0.45294441364585675,0.49933139703489154,10
heterogeneous,fast25,DeceFL,15,0.5213112955468037,0.02682233954609031,0.008481968514005225,0.5046866372593535,0.5379359538342539,10
