block,label,method,round,n,f1_mean,f1_std,f1_var,f1_sem,ci_low,ci_high,bytes_cum_mean,ref_bytes,comm_norm
heterogeneous,fast50,DFedSAM,99,10,0.8844962768473037,0.022787207710343815,0.0005192568352343527,0.007205947788003689,0.8703726191828165,0.8986199345117909,78780000.0,78780000.0,1.0
heterogeneous,fast50,DeceFL,0,10,0.150527546952636,0.026970960718421387,0.0007274327220746296,0.008528966655314284,0.13381077230822003,0.167244321597052,62400.0,15600.0,4.0
heterogeneous,fast50,DeceFL,1,10,0.1505705549269288,0.014601343318779818,0.00021319922671287603,0.0046173501785426235,0.14152054857698526,0.15962056127687235,187200.0,46800.0,4.0
heterogeneous,fast50,DeceFL,2,10,0.1748810216512217,0.025926536448190818,0.000672185292199367,0.008198690701565505,0.15881158787615332,0.1909504554262901,374400.0,93600.0,4.0
heterogeneous,fast50,DeceFL,3,10,0.16090940122814318,0.02073904569911566,0.0004301080165100077,0.0065582620907524555,0.14805520753026835,0.173763594926018,624000.0,156000.0,4.0
heterogeneous,fast50,DeceFL,4,10,0.1484948539120004,0.014805941847912493,0.00021921591400376642,0.0046820499143405804,0.13931803607989288,0.15767167174410793,936000.0,234000.0,4.0
heterogeneous,fast50,DeceFL,5,10,0.14066945188172175,0.0,0.0,0.0,0.14066945188172175,0.14066945188172175,1310400.0,327600.0,4.0
heterogeneous,fast50,DeceFL,6,10,0.14249220740007207,0.005764059055627874,3.32243767967657e-05,0.001822755518350327,0.13891960658410543,0.1460648082160387,1747200.0,436800.0,4.0
heterogeneous,fast50,DeceFL,7,10,0.14249355682598486,0.005768326315045922,3.327358847685127e-05,0.0018241049442631108,0.13891831113522915,0.14606880251674056,2246400.0,561600.0,4.0
heterogeneous,fast50,DeceFL,8,10,0.1452204679521371,0.007328821941471044,5.37116310497874e-05,0.002317576990086573,0.14067801705156743,0.1497629188527068,2808000.0,702000.0,4.0
heterogeneous,fast50,DeceFL,9,10,0.1748703690037971,0.023271264432343283,0.0005415517482800455,0.007359019963827014,0.16044668987469615,0.18929404813289805,3432000.0,858000.0,4.0
heterogeneous,fast50,DeceFL,10,10,0.2645366221011791,0.04398115480667569,0.0019343419781287724,0.013908062331355768,0.2372768199317218,0.2917964242706364,4118400.0,1029600.0,4.0
heterogeneous,fast50,DeceFL,11,10,0.34506542481039615,0.024123188635663727,0.0005819282299518156,0.0076284220514587124,0.33011371758953706,0.36001713203125524,4867200.0,1216800.0,4.0
heterogeneous,fast50,DeceFL,12,10,0.39430369628488565,0.02842801001357581,0.0008081517533319666,0.008989726098897376,0.3766838331310468,0.4119235594387245,5678400.0,1419600.0,4.0
heterogeneous,fast50,DeceFL,13,10,0.43247266730285644,0.029545722886958083,0.0008729497409129187,0.009343177943895314,0.41416003853282163,0.45078529607289125,6552000.0,1638000.0,4.0
heterogeneous,fast50,DeceFL,14,10,0.47613790534037415,0.03742054114636388,0.0014002968996867122,0.011833414129855812,0.45294441364585675,0.49933139703489154,7488000.0,1872000.0,4.0
heterogeneous,fast50,DeceFL,15,10,0.5213112955468037,0.026822339546090333,0.0007194378987257614,0.008481968514005232,0.5046866372593534,0.537935953834254,8486400.0,2121600.0,4.0
heterogeneous,fast50,DeceFL,16,10,0.5611774237011681,0.01995880336185086,0.00039835383163702915,0.006311527799487451,0.5488068292141727,0.5735480181881635,9547200.0,2386800.0,4.0
heterogeneous,fast50,DeceFL,17,10,0.5925766032071135,0.031174326499144374,0.0009718386326752551,0.009858187625903937,0.5732545554603418,0.6118986509538852,10670400.0,2667600.0,4.0
heterogeneous,fast50,DeceFL,18,10,0.6242618644614967,0.018079049523266277,0.0003268520316647146,0.0057170974424502734,0.6130563534742941,0.6354673754486992,11856000.0,2964000.0,4.0
heterogeneous,fast50,DeceFL,19,10,0.6435723382908775,0.030946077907844132,0.0009576597378783587,0.009786009083780571,0.6243917604866676,0.6627529160950874,13104000.0,3276000.0,4.0
heterogeneous,fast50,DeceFL,20,10,0.6594157817597892,0.024145872547993618,0.0005830231611039518,0.007635595334379316,0.6444500149044058,0.6743815486151726,14414400.0,3603600.0,4.0
heterogeneous,fast50,DeceFL,21,10,0.6723771335160986,0.028204251204328498,0.0007954797859968656,0.008918967350522512,0.6548959575090745,0.6898583095231228,15787200.0,3946800.0,4.0
