t,agent,neighbor,tau,score,contacts,reputation,self_p
26,S11,S4,0.8923771176234319,1.0243198860874245,13,0.0,0.033131548361309
26,S14,S16,0.9636224539497743,1.0926012597026524,14,0.0,0.04971850653009706
26,S9,S10,0.8822202429488013,1.008461381490547,15,0.0,0.026579818830416893
26,S9,S8,0.8911470632281777,1.020125868981056,14,0.0,0.026579818830416893
26,S8,S11,0.8822202429488013,1.104565814053928,1,0.0,0.24864123427732898
26,S8,S14,0.8919781094366673,1.018219247978413,15,0.0,0.24864123427732898
26,S8,S6,0.9524017873036236,1.0843445557676161,13,0.0,0.24864123427732898
26,S8,S9,1.0,1.2223455711051268,1,0.5,0.24864123427732898
26,S3,S15,0.8822202429488013,1.104565814053928,1,1.0,0.16018156287284396
26,S3,S17,0.9062963238498075,1.0414643559333456,12,0.0,0.16018156287284396
26,S3,S7,0.9204778829864144,1.052420651450407,13,0.0,0.16018156287284396
26,S3,S2,1.0008511739316477,1.2231967450367744,1,0.0,0.16018156287284396
26,S16,S4,0.8822202429488013,1.104565814053928,1,0.0,0.17505126906047272
26,S16,S17,0.8822202429488013,1.104565814053928,1,0.0,0.17505126906047272
26,S16,S9,0.9252540531991776,1.0571968216631702,13,0.0,0.17505126906047272
26,S16,S5,0.9197373651864802,1.0459785037282259,15,0.0,0.17505126906047272
26,S16,S14,1.0,1.2223455711051268,1,0.0,0.17505126906047272
26,S15,S14,0.8822202429488013,1.104565814053928,1,1.0,0.226792270317367
26,S15,S11,0.985077419202614,1.108778543409464,16,0.5,0.226792270317367
26,S15,S2,0.8911090557802088,1.026277087863747,12,1.0,0.226792270317367
26,S2,S7,0.8822202429488013,1.104565814053928,1,0.0,0.2203712902266258
26,S2,S3,0.9170126732498949,1.052180705333433,12,0.5,0.2203712902266258
26,S17,S5,0.8822202429488013,1.104565814053928,1,1.0,0.05530602075591064
26,S17,S3,0.8822202429488013,1.104565814053928,1,1.0,0.05530602075591064
27,S13,S8,0.8778091417340573,1.100154712839184,1,0.5,0.06794093005204807
27,S13,S10,1.0161931559993962,1.238538727104523,1,0.0,0.06794093005204807
27,S3,S15,0.8778091417340573,1.100154712839184,1,1.0,0.12814525029827517
27,S3,S17,0.9017648422305585,1.0369328743140966,12,0.0,0.12814525029827517
27,S3,S7,0.9158754935714823,1.047818262035475,13,0.0,0.12814525029827517
27,S3,S2,0.9966115733311083,1.2005449713648702,2,0.0,0.12814525029827517
27,S6,S16,0.8778091417340573,1.100154712839184,1,1.0,0.37096316253532235
27,S6,S9,0.8778091417340573,1.100154712839184,1,0.0,0.37096316253532235
27,S6,S8,0.995,1.1989333980337618,2,0.5,0.37096316253532235
27,S7,S2,0.8778091417340573,1.100154712839184,1,0.0,0.09671604025493329
27,S7,S3,0.995,1.2173455711051266,1,0.5,0.09671604025493329
27,S4,S11,0.9953222368597155,1.1992556348934773,2,0.0,0.04275237507280252
27,S2,S7,0.8778091417340573,1.100154712839184,1,0.0,0.20262319161273262
27,S2,S3,0.9124276098836454,1.0475956419671835,12,0.5,0.20262319161273262
27,S2,S15,1.0,1.2223455711051268,1,1.0,0.20262319161273262
27,S10,S13,0.9175483550348679,1.0494911234988606,13,0.0,0.06059509781006534
27,S16,S4,0.8778091417340573,1.100154712839184,1,0.0,0.16331371318786667
27,S16,S17,0.8778091417340573,1.100154712839184,1,0.0,0.16331371318786667
27,S16,S9,0.9206277829331817,1.0525705513971744,13,0.0,0.16331371318786667
27,S16,S5,0.9151386783605477,1.0413798169022934,15,0.0,0.16331371318786667
27,S16,S14,0.995,1.1989333980337618,2,0.0,0.16331371318786667
27,S9,S10,0.8778091417340573,1.004050280275803,15,0.0,0.02472551424336804
27,S9,S8,0.8866913279120369,1.015670133664915,14,0.0,0.02472551424336804
27,S5,S15,0.9354712249833276,1.0706392570668657,12,0.0,0.06653231320002792
27,S5,S16,0.995,1.1989333980337618,2,0.0,0.06653231320002792
27,S11,S4,0.8879152320353147,1.0198580004993074,13,0.0,0.026668329079252033
27,S14,S16,0.9588043416800254,1.0877831474329036,14,0.0,0.043121750627451015
27,S15,S14,0.8778091417340573,1.100154712839184,1,1.0,0.3814338162538936
27,S15,S11,0.980152032106601,1.1038531563134508,16,0.5,0.3814338162538936
27,S15,S2,0.8866535105013078,1.021821542584846,12,1.0,0.3814338162538936
27,S15,S5,1.0,1.2223455711051268,1,0.0,0.3814338162538936
27,S8,S11,0.8778091417340573,1.100154712839184,1,0.0,0.20088881719814938
27,S8,S14,0.887518218889484,1.0137593574312296,15,0.0,0.20088881719814938
27,S8,S6,0.9476397783671054,1.079582546831098,13,0.0,0.20088881719814938
27,S8,S9,0.995,1.1989333980337618,2,0.5,0.20088881719814938
27,S17,S5,0.8778091417340573,1.100154712839184,1,1.0,0.04424481660472851
27,S17,S3,0.8778091417340573,1.100154712839184,1,1.0,0.04424481660472851
28,S15,S14,0.8734200960253871,1.0957656671305138,1,1.0,0.3051470530031149
28,S15,S11,0.975251271946068,1.098952396152918,16,0.5,0.3051470530031149
28,S15,S2,0.8822202429488013,1.0173882750323395,12,1.0,0.3051470530031149
28,S15,S5,0.995,1.1989333980337618,2,0.0,0.3051470530031149
28,S13,S8,0.8734200960253871,1.0957656671305138,1,0.5,0.12599077054366317
28,S13,S10,1.0136975875704295,1.2176309856041914,2,0.0,0.12599077054366317
28,S4,S11,0.9905768676653719,1.1808723038423,3,0.0,0.03420190005824202
28,S7,S2,0.8734200960253871,1.0957656671305138,1,0.0,0.19890976212819145
28,S7,S3,0.990025,1.2123705711051267,1,0.5,0.19890976212819145
28,S3,S15,0.8734200960253871,1.0957656671305138,1,1.0,0.10251620023862014
28,S3,S17,0.8972560180194057,1.0324240501029438,12,0.0,0.10251620023862014
28,S3,S7,0.9112961161036249,1.0432388845676175,13,0.0,0.10251620023862014
28,S3,S2,0.9924041793228346,1.1826996154997627,3,0.0,0.10251620023862014
28,S6,S16,0.8734200960253871,1.0957656671305138,1,1.0,0.4967705300282579
28,S6,S9,0.8734200960253871,1.0957656671305138,1,0.0,0.4967705300282579
28,S6,S8,0.9901355914495354,1.1804310276264633,3,0.0,0.4967705300282579
28,S16,S4,0.8734200960253871,1.0957656671305138,1,0.0,0.13065097055029334
28,S16,S17,0.8734200960253871,1.0957656671305138,1,0.0,0.13065097055029334
28,S16,S9,0.9160246440185158,1.0479674124825085,13,0.0,0.13065097055029334
28,S16,S5,0.910562984968745,1.0368041235104906,15,0.0,0.13065097055029334
28,S16,S14,0.9901473356744833,1.1804427718514112,3,0.0,0.13065097055029334
28,S10,S13,0.9129606132596936,1.0449033817236861,13,0.0,0.05059842391217455
28,S9,S10,0.8734200960253871,0.9996612345671327,15,0.0,0.02167050037409393
28,S9,S8,0.8822578712724767,1.011236677025355,14,0.0,0.02167050037409393
28,S8,S11,0.8734200960253871,1.0957656671305138,1,0.0,0.1636468917867633
28,S8,S14,0.8830806277950366,1.0093217663367822,15,0.0,0.1636468917867633
28,S8,S6,0.9429015794752699,1.0748443479392624,13,0.0,0.1636468917867633
28,S8,S9,0.990025,1.180320436176928,3,0.5,0.1636468917867633
28,S5,S15,0.930793868858411,1.0659619009419492,12,0.0,0.05378955560096495
28,S5,S16,0.990025,1.1939583980337618,2,0.0,0.05378955560096495
28,S14,S16,0.9540103199716252,1.0829891257245035,14,0.0,0.036976872899294855
28,S11,S4,0.8834756558751382,1.0154184243391309,13,0.0,0.02175875577364294
28,S2,S7,0.8734200960253871,1.0957656671305138,1,0.0,0.16804080244889436
28,S2,S3,0.9078654718342272,1.0430335039177654,12,0.5,0.16804080244889436
28,S2,S15,0.995,1.2173455711051266,1,1.0,0.16804080244889436
28,S17,S5,0.8734200960253871,1.0957656671305138,1,1.0,0.06962811516069106
28,S17,S3,0.8734200960253871,1.0957656671305138,1,1.0,0.06962811516069106
29,S5,S15,0.9261398995141189,1.061307931597657,12,0.0,0.04586390488956926
29,S5,S16,0.985074875,1.175370311176928,3,0.0,0.04586390488956926
29,S16,S4,0.8690529955452602,1.091398566650387,1,0.0,0.14277583820251297
29,S16,S17,0.8690529955452602,1.091398566650387,1,0.0,0.14277583820251297
29,S16,S9,0.9114445207984232,1.0433872892624159,13,0.0,0.14277583820251297
29,S16,S5,0.9060101700439013,1.0322513085856468,15,0.0,0.14277583820251297
29,S16,S14,0.9857882228382547,1.1653757236452569,4,0.0,0.14277583820251297
29,S9,S10,0.8690529955452602,0.9952941340870058,15,0.0,0.017336400299275145
29,S9,S8,0.8778465819161143,1.0068253876689925,14,0.0,0.017336400299275145
29,S6,S16,0.8690529955452602,1.091398566650387,1,1.0,0.39741642402260635
29,S6,S9,0.8690529955452602,1.091398566650387,1,0.0,0.39741642402260635
29,S6,S8,0.9851849134922878,1.16477241429929,4,0.0,0.39741642402260635
29,S13,S8,0.8690529955452602,1.091398566650387,1,0.5,0.10153630944262654
29,S13,S10,1.009769955466471,1.200065391643399,3,0.0,0.10153630944262654
29,S7,S2,0.8690529955452602,1.091398566650387,1,0.0,0.20394453992764947
29,S7,S3,0.985074875,1.1890082730337619,2,0.5,0.20394453992764947
29,S4,S11,0.985623983327045,1.165211484134047,4,0.0,0.029745470855603574
29,S11,S4,0.8790582775957625,1.0110010460597552,13,0.0,0.017743127818074817
29,S15,S14,0.8690529955452602,1.091398566650387,1,1.0,0.32216498242997593
