block,label,method,round,n,f1_mean,f1_std,f1_var,f1_sem,ci_low,ci_high,bytes_cum_mean,ref_bytes,comm_norm
heterogeneous,fast50,ASILO,30,10,0.8882785592910188,0.010799962084424188,0.00011663918102500005,0.003415247883024013,0.8815846734402918,0.8949724451417459,5544832.3,7737600.0,0.7166088063482217
heterogeneous,fast50,ASILO,31,10,0.8887005516974245,0.01263062159451136,0.00015953260186373668,0.003994153250236359,0.8808720113269612,0.8965290920678877,5881886.5,8236800.0,0.714098496989122
heterogeneous,fast50,ASILO,32,10,0.888104818229835,0.012091752472560632,0.00014621047785767617,0.003823747871626425,0.8806102724014472,0.8955993640582228,6226841.4,8751600.0,0.7115089126559715
heterogeneous,fast50,ASILO,33,10,0.8893371840020998,0.01047930000193034,0.00010981572853045723,0.0033138456290306767,0.8828420465691997,0.8958323214349999,6579339.1,9282000.0,0.7088277418659771
heterogeneous,fast50,ASILO,34,10,0.8873115733004132,0.012705211216522681,0.00016142239205645375,0.004017740559773039,0.879436801803258,0.8951863447975684,6939917.7,9828000.0,0.7061373321123321
heterogeneous,fast50,ASILO,35,10,0.886966686442751,0.012636798437956079,0.00015968867476152918,0.003996106539639918,0.8791343176250568,0.8947990552604452,7310012.2,10389600.0,0.7035893778393778
heterogeneous,fast50,ASILO,36,10,0.8859795425611144,0.013151951975001137,0.00017297384075273632,0.004159012391815349,0.8778278782731563,0.8941312068490725,7686391.7,10966800.0,0.7008782598387862
heterogeneous,fast50,ASILO,37,10,0.8899438713132157,0.013100622284344986,0.00017162630423707645,0.004142780518408819,0.8818240214971345,0.898063721129297,8070494.1,11559600.0,0.6981637859441503
heterogeneous,fast50,ASILO,38,10,0.8907868791599579,0.011030757597430156,0.00012167761317326311,0.0034882318325086007,0.8839499447682411,0.8976238135516748,8463577.7,12168000.0,0.6955602975016436
heterogeneous,fast50,ASILO,39,10,0.8906184774109798,0.010890756838504633,0.00011860858451543544,0.0034439597052729207,0.8838683163886448,0.8973686384333147,8864021.7,12792000.0,0.6929347795497185
heterogeneous,fast50,ASILO,40,10,0.8895573640857977,0.012046942605077307,0.0001451288261300268,0.0038095777473366624,0.8820905917010178,0.8970241364705775,9271649.9,13431600.0,0.6902863322314542
heterogeneous,fast50,ASILO,41,10,0.8864705652484144,0.01595948749122186,0.00025470524098246704,0.005046833076122758,0.8765787724192138,0.896362358077615,9687000.2,14086800.0,0.687665062327853
heterogeneous,fast50,ASILO,42,10,0.8892678519570257,0.011713313279849247,0.00013720170799189272,0.003704074891142088,0.8820078651703872,0.8965278387436643,10109893.9,14757600.0,0.6850635536943677
heterogeneous,fast50,ASILO,43,10,0.8890222325264299,0.011884508831870299,0.00014124155017480313,0.0037582116781097246,0.8816561376373349,0.8963883274155249,10540691.4,15444000.0,0.6825104506604507
heterogeneous,fast50,ASILO,44,10,0.8890331423027176,0.010844223737237086,0.00011759718846325626,0.0034292446466132488,0.8823118227953556,0.8957544618100796,10978314.7,16146000.0,0.6799402142945621
heterogeneous,fast50,ASILO,45,10,0.8885988346002278,0.011557297937188122,0.0001335711356089328,0.0036547385078680088,0.8814355471248065,0.8957621220756491,11422945.8,16863600.0,0.6773729096989967
heterogeneous,fast50,ASILO,46,10,0.8878363145646336,0.011705568711567577,0.00013702033886122983,0.0037016258436156106,0.8805811279111471,0.8950915012181202,11873684.6,17596800.0,0.6747638547917802
heterogeneous,fast50,ASILO,47,10,0.8887089903873463,0.01104533731505094,0.00012199947640325672,0.0034928423440409775,0.881863019393026,0.8955549613816666,12333399.4,18345600.0,0.6722810592185592
heterogeneous,fast50,ASILO,48,10,0.8889690716313211,0.011593402306151782,0.00013440697703228545,0.003666155711808835,0.8817834064361758,0.8961547368264664,12799224.2,19110000.0,0.6697657875457875
heterogeneous,fast50,ASILO,49,10,0.8866903939906565,0.014051917200108507,0.0001974563769987053,0.004443606384443893,0.8779809254771465,0.8953998625041666,13271335.9,19890000.0,0.6672365962795375
heterogeneous,fast50,DFedSAM,0,10,0.8186404632416547,0.02442208200697846,0.0005964380895555811,0.007722940434546812,0.803503499989943,0.8337774264933665,15600.0,15600.0,1.0
heterogeneous,fast50,DFedSAM,1,10,0.8475602576586683,0.020319412267852156,0.0004128785149109407,0.0064255623482380175,0.8349661554561217,0.8601543598612148,46800.0,46800.0,1.0
heterogeneous,fast50,DFedSAM,2,10,0.8620021320920552,0.017736598874453426,0.00031458693963326253,0.005608805038805169,0.8510088742159971,0.8729953899681133,93600.0,93600.0,1.0
heterogeneous,fast50,DFedSAM,3,10,0.8708653369287639,0.028556151854127135,0.0008154538087159686,0.009030248106868208,0.8531660506393022,0.8885646232182256,156000.0,156000.0,1.0
heterogeneous,fast50,DFedSAM,4,10,0.8847433601998602,0.016539394955136677,0.0002735515854820006,0.005230215917933031,0.8744921370007115,0.894994583399009,234000.0,234000.0,1.0
heterogeneous,fast50,DFedSAM,5,10,0.8891194044858205,0.011457898370803818,0.00013128343507566877,0.003623305605047258,0.8820177254999279,0.8962210834717131,327600.0,327600.0,1.0
heterogeneous,fast50,DFedSAM,6,10,0.901797511176964,0.013856976573529184,0.0001920157997593366,0.0043819607455947915,0.8932088681155983,0.9103861542383298,436800.0,436800.0,1.0
heterogeneous,fast50,DFedSAM,7,10,0.8982221926083627,0.017258255477642856,0.0002978473821315896,0.005457539575042856,0.8875254150412787,0.9089189701754466,561600.0,561600.0,1.0
heterogeneous,fast50,DFedSAM,8,10,0.9078430897220173,0.015762208580056572,0.00024844721932120904,0.004984448006762725,0.8980735716287623,0.9176126078152723,702000.0,702000.0,1.0
heterogeneous,fast50,DFedSAM,9,10,0.9122762628350385,0.015008689573648584,0.00022526076271814772,0.004746164374715099,0.9029737806605969,0.9215787450094801,858000.0,858000.0,1.0
heterogeneous,fast50,DFedSAM,10,10,0.9094148518915057,0.010253068503661143,0.00010512541374076815,0.0032423049477303665,0.9030599341939543,0.9157697695890572,1029600.0,1029600.0,1.0
heterogeneous,fast50,DFedSAM,11,10,0.8976745397543331,0.008428703901471747,7.104304945868505e-05,0.0026653902051798164,0.8924503749521806,0.9028987045564856,1216800.0,1216800.0,1.0
heterogeneous,fast50,DFedSAM,12,10,0.8924624205853757,0.016186042722829298,0.00026198797902525527,0.005118476130893405,0.8824302073688246,0.9024946338019268,1419600.0,1419600.0,1.0
heterogeneous,fast50,DFedSAM,13,10,0.8952758205031219,0.01849015196357229,0.00034188571963599624,0.0058470994487523145,0.8838155055835674,0.9067361354226765,1638000.0,1638000.0,1.0
